FIPS,State,"County, State",2014 Food Insecurity Rate,# of Food Insecure Persons in 2014
48291,TX,"Liberty County, Texas",18.8%,14430
48293,TX,"Limestone County, Texas",20.2%,4750
48295,TX,"Lipscomb County, Texas",13.4%,460
48297,TX,"Live Oak County, Texas",12.8%,1500
48299,TX,"Llano County, Texas",18%,3460
48301,TX,"Loving County, Texas",18.1%,20
48303,TX,"Lubbock County, Texas",17.4%,49850
48305,TX,"Lynn County, Texas",12.8%,740
48307,TX,"McCulloch County, Texas",14.8%,1220
48309,TX,"McLennan County, Texas",20.4%,48830
48311,TX,"McMullen County, Texas",8.4%,50
48313,TX,"Madison County, Texas",20.6%,2830
48315,TX,"Marion County, Texas",24%,2480
48317,TX,"Martin County, Texas",11.3%,580
48319,TX,"Mason County, Texas",13.9%,560
48321,TX,"Matagorda County, Texas",18.2%,6650
48323,TX,"Maverick County, Texas",11.3%,6280
48325,TX,"Medina County, Texas",11%,5160
48327,TX,"Menard County, Texas",14.3%,310
48329,TX,"Midland County, Texas",12%,17590
48331,TX,"Milam County, Texas",19.3%,4700
48333,TX,"Mills County, Texas",15.3%,740
48335,TX,"Mitchell County, Texas",14%,1300
48337,TX,"Montague County, Texas",17.3%,3390
48339,TX,"Montgomery County, Texas",15.2%,73980
48341,TX,"Moore County, Texas",12.1%,2670
48343,TX,"Morris County, Texas",23.3%,2980
48345,TX,"Motley County, Texas",17%,200
48347,TX,"Nacogdoches County, Texas",22.7%,14820
48349,TX,"Navarro County, Texas",19.4%,9330
48351,TX,"Newton County, Texas",23.2%,3320
48353,TX,"Nolan County, Texas",15.7%,2360
48355,TX,"Nueces County, Texas",12.5%,43410
48357,TX,"Ochiltree County, Texas",11%,1160
48359,TX,"Oldham County, Texas",18%,370
48361,TX,"Orange County, Texas",20.6%,17060
48363,TX,"Palo Pinto County, Texas",17.8%,4980
48365,TX,"Panola County, Texas",19%,4550
48367,TX,"Parker County, Texas",15.9%,18990
48369,TX,"Parmer County, Texas",10.1%,1020
48371,TX,"Pecos County, Texas",9.8%,1530
48373,TX,"Polk County, Texas",19.6%,8950
48375,TX,"Potter County, Texas",17.8%,21670
48377,TX,"Presidio County, Texas",12.7%,950
48379,TX,"Rains County, Texas",16.9%,1860
48381,TX,"Randall County, Texas",15.4%,19250
48383,TX,"Reagan County, Texas",8.7%,310
48385,TX,"Real County, Texas",18%,600
48387,TX,"Red River County, Texas",23%,2900
48389,TX,"Reeves County, Texas",9%,1260
48391,TX,"Refugio County, Texas",12.4%,910
48393,TX,"Roberts County, Texas",13.7%,130
48395,TX,"Robertson County, Texas",20.2%,3340
48397,TX,"Rockwall County, Texas",13.6%,11340
48399,TX,"Runnels County, Texas",15.5%,1610
48401,TX,"Rusk County, Texas",19.2%,10390
48403,TX,"Sabine County, Texas",23.4%,2470
48405,TX,"San Augustine County, Texas",24.9%,2190
48407,TX,"San Jacinto County, Texas",19.4%,5200
48409,TX,"San Patricio County, Texas",12.5%,8160
48411,TX,"San Saba County, Texas",15.1%,890
48413,TX,"Schleicher County, Texas",12.4%,410
48415,TX,"Scurry County, Texas",12.7%,2170
48417,TX,"Shackelford County, Texas",16.6%,560
48419,TX,"Shelby County, Texas",21.2%,5450
48421,TX,"Sherman County, Texas",11.8%,360
48423,TX,"Smith County, Texas",20.1%,43090
48425,TX,"Somervell County, Texas",16.3%,1390
48427,TX,"Starr County, Texas",13.6%,8460
48429,TX,"Stephens County, Texas",16.7%,1580
48431,TX,"Sterling County, Texas",13.4%,180
48433,TX,"Stonewall County, Texas",16.7%,240
48435,TX,"Sutton County, Texas",8.8%,350
48437,TX,"Swisher County, Texas",16.3%,1270
48439,TX,"Tarrant County, Texas",18.1%,340620
48441,TX,"Taylor County, Texas",18.5%,24760
48443,TX,"Terrell County, Texas",11.3%,90
48445,TX,"Terry County, Texas",12%,1520
48447,TX,"Throckmorton County, Texas",17%,270
48449,TX,"Titus County, Texas",16.8%,5480
48451,TX,"Tom Green County, Texas",15.2%,17220
48453,TX,"Travis County, Texas",17.1%,186860
48455,TX,"Trinity County, Texas",19.6%,2840
48457,TX,"Tyler County, Texas",20.4%,4400
48459,TX,"Upshur County, Texas",18.7%,7450
48461,TX,"Upton County, Texas",12.3%,410
48463,TX,"Uvalde County, Texas",11.2%,3000
48465,TX,"Val Verde County, Texas",9.8%,4820
48467,TX,"Van Zandt County, Texas",18.4%,9670
48469,TX,"Victoria County, Texas",14.1%,12550
48471,TX,"Walker County, Texas",23.4%,16130
48473,TX,"Waller County, Texas",19%,8520
48475,TX,"Ward County, Texas",12.8%,1410
48477,TX,"Washington County, Texas",18.8%,6410
48479,TX,"Webb County, Texas",9.2%,23780
48481,TX,"Wharton County, Texas",16.4%,6780
48483,TX,"Wheeler County, Texas",14.3%,800
48485,TX,"Wichita County, Texas",19.6%,25770
48487,TX,"Wilbarger County, Texas",18.1%,2410
48489,TX,"Willacy County, Texas",13.9%,3070
48491,TX,"Williamson County, Texas",14.7%,67140
48493,TX,"Wilson County, Texas",10.8%,4830
48495,TX,"Winkler County, Texas",9.3%,690
48497,TX,"Wise County, Texas",15%,9060
48499,TX,"Wood County, Texas",18.3%,7770
48501,TX,"Yoakum County, Texas",8.2%,660
48503,TX,"Young County, Texas",17.2%,3150
48505,TX,"Zapata County, Texas",8.8%,1260
48507,TX,"Zavala County, Texas",12.8%,1540
49001,UT,"Beaver County, Utah",13.7%,890
49003,UT,"Box Elder County, Utah",13.1%,6610
49005,UT,"Cache County, Utah",15.1%,17510
49007,UT,"Carbon County, Utah",15.2%,3210
49009,UT,"Daggett County, Utah",14.2%,100
49011,UT,"Davis County, Utah",12.3%,39040
49013,UT,"Duchesne County, Utah",13.3%,2580
49015,UT,"Emery County, Utah",14.3%,1550
49017,UT,"Garfield County, Utah",17.1%,870
49019,UT,"Grand County, Utah",16.9%,1580
49021,UT,"Iron County, Utah",17.9%,8340
49023,UT,"Juab County, Utah",14.2%,1470
49025,UT,"Kane County, Utah",14.2%,1030
49027,UT,"Millard County, Utah",13.2%,1650
49029,UT,"Morgan County, Utah",11.1%,1110
49031,UT,"Piute County, Utah",17.5%,340
49033,UT,"Rich County, Utah",13.8%,320
49035,UT,"Salt Lake County, Utah",13.4%,142440
49037,UT,"San Juan County, Utah",19%,2850
49039,UT,"Sanpete County, Utah",15.1%,4250
49041,UT,"Sevier County, Utah",15.3%,3180
49043,UT,"Summit County, Utah",11.2%,4230
49045,UT,"Tooele County, Utah",12.8%,7700
49047,UT,"Uintah County, Utah",13.4%,4640
49049,UT,"Utah County, Utah",14.2%,76930
49051,UT,"Wasatch County, Utah",12.1%,3080
49053,UT,"Washington County, Utah",15.3%,22170
49055,UT,"Wayne County, Utah",17.6%,480
49057,UT,"Weber County, Utah",13.4%,31720
50001,VT,"Addison County, Vermont",11.7%,4300
50003,VT,"Bennington County, Vermont",13.6%,4990
50005,VT,"Caledonia County, Vermont",13.6%,4220
50007,VT,"Chittenden County, Vermont",12.5%,19760
50009,VT,"Essex County, Vermont",14.6%,910
50011,VT,"Franklin County, Vermont",11.8%,5670
50013,VT,"Grand Isle County, Vermont",10.9%,760
50015,VT,"Lamoille County, Vermont",13.5%,3360
50017,VT,"Orange County, Vermont",11.9%,3450
50019,VT,"Orleans County, Vermont",14.5%,3940
50021,VT,"Rutland County, Vermont",13.6%,8290
50023,VT,"Washington County, Vermont",11.9%,7080
50025,VT,"Windham County, Vermont",13%,5750
50027,VT,"Windsor County, Vermont",12.3%,6930
51001,VA,"Accomack County, Virginia",15.1%,5010
51003,VA,"Albemarle County, Virginia",10%,10140
51005,VA,"Alleghany County, Virginia",10.9%,1750
51007,VA,"Amelia County, Virginia",11.6%,1480
51009,VA,"Amherst County, Virginia",12.2%,3930
51011,VA,"Appomattox County, Virginia",13%,1970
51013,VA,"Arlington County, Virginia",8.4%,18410
51015,VA,"Augusta County, Virginia",8.6%,6320
51017,VA,"Bath County, Virginia",9.8%,460
51019,VA,"Bedford County, Virginia",9.2%,6980
51021,VA,"Bland County, Virginia",10.7%,720
51023,VA,"Botetourt County, Virginia",7.3%,2430
51025,VA,"Brunswick County, Virginia",20.6%,3500
51027,VA,"Buchanan County, Virginia",15%,3560
51029,VA,"Buckingham County, Virginia",16.7%,2850
51031,VA,"Campbell County, Virginia",11.8%,6490
51033,VA,"Caroline County, Virginia",12.6%,3650
51035,VA,"Carroll County, Virginia",11.7%,3510
51036,VA,"Charles City County, Virginia",15.7%,1120
51037,VA,"Charlotte County, Virginia",16.1%,1990
51041,VA,"Chesterfield County, Virginia",9.8%,31820
51043,VA,"Clarke County, Virginia",8.2%,1160
51045,VA,"Craig County, Virginia",9.8%,510
51047,VA,"Culpeper County, Virginia",9.8%,4720
51049,VA,"Cumberland County, Virginia",16%,1590
51051,VA,"Dickenson County, Virginia",14%,2190
51053,VA,"Dinwiddie County, Virginia",14.4%,4030
51057,VA,"Essex County, Virginia",15.2%,1700
51059,VA,"Fairfax County, Virginia",5.7%,63460
51061,VA,"Fauquier County, Virginia",6.6%,4420
51063,VA,"Floyd County, Virginia",8.9%,1380
51065,VA,"Fluvanna County, Virginia",8.6%,2240
51067,VA,"Franklin County, Virginia",10.9%,6150
51069,VA,"Frederick County, Virginia",7.2%,5810
51071,VA,"Giles County, Virginia",10.6%,1800
51073,VA,"Gloucester County, Virginia",8.8%,3260
51075,VA,"Goochland County, Virginia",8.3%,1790
51077,VA,"Grayson County, Virginia",13.1%,2000
51079,VA,"Greene County, Virginia",9%,1680
51081,VA,"Greensville County, Virginia",19.6%,2340
51083,VA,"Halifax County, Virginia",17.6%,6300
51085,VA,"Hanover County, Virginia",7.5%,7590
51087,VA,"Henrico County, Virginia",13.3%,42020
51089,VA,"Henry County, Virginia",14.9%,7870
51091,VA,"Highland County, Virginia",8.3%,190
51093,VA,"Isle of Wight County, Virginia",11.5%,4090
51095,VA,"James City County, Virginia",9.3%,6490
51097,VA,"King and Queen County, Virginia",13.1%,930
51099,VA,"King George County, Virginia",9.7%,2380
51101,VA,"King William County, Virginia",10.9%,1750
51103,VA,"Lancaster County, Virginia",14.2%,1590
51105,VA,"Lee County, Virginia",14.9%,3790
51107,VA,"Loudoun County, Virginia",4.3%,14410
51109,VA,"Louisa County, Virginia",10.4%,3500
51111,VA,"Lunenburg County, Virginia",15.8%,2010
51113,VA,"Madison County, Virginia",10.4%,1380
51115,VA,"Mathews County, Virginia",9%,800
51117,VA,"Mecklenburg County, Virginia",17.2%,5500
51119,VA,"Middlesex County, Virginia",10.5%,1130
51121,VA,"Montgomery County, Virginia",14.6%,14000
51125,VA,"Nelson County, Virginia",11.3%,1680
51127,VA,"New Kent County, Virginia",7.6%,1460
51131,VA,"Northampton County, Virginia",17.4%,2130
51133,VA,"Northumberland County, Virginia",13.5%,1660
51135,VA,"Nottoway County, Virginia",17.5%,2760
51137,VA,"Orange County, Virginia",10.5%,3590
51139,VA,"Page County, Virginia",13%,3120
51141,VA,"Patrick County, Virginia",12.8%,2350
51143,VA,"Pittsylvania County, Virginia",13.2%,8280
51145,VA,"Powhatan County, Virginia",7.5%,2110
51147,VA,"Prince Edward County, Virginia",18.2%,4200
51149,VA,"Prince George County, Virginia",13.3%,4880
51153,VA,"Prince William County, Virginia",6.9%,29520
51155,VA,"Pulaski County, Virginia",11.6%,4010
51157,VA,"Rappahannock County, Virginia",8.8%,660
51159,VA,"Richmond County, Virginia",12.7%,1160
51161,VA,"Roanoke County, Virginia",8.8%,8190
51163,VA,"Rockbridge County, Virginia",10.4%,2330
51165,VA,"Rockingham County, Virginia",8.5%,6590
51167,VA,"Russell County, Virginia",12.9%,3670
51169,VA,"Scott County, Virginia",11.5%,2610
51171,VA,"Shenandoah County, Virginia",9.7%,4120
51173,VA,"Smyth County, Virginia",13.6%,4320
51175,VA,"Southampton County, Virginia",14.9%,2740
51177,VA,"Spotsylvania County, Virginia",9%,11340
51179,VA,"Stafford County, Virginia",7.7%,10310
51181,VA,"Surry County, Virginia",15.4%,1060
51183,VA,"Sussex County, Virginia",20.9%,2490
51185,VA,"Tazewell County, Virginia",13.6%,6030
51187,VA,"Warren County, Virginia",9.5%,3600
51191,VA,"Washington County, Virginia",10.3%,5620
51193,VA,"Westmoreland County, Virginia",13.1%,2300
51195,VA,"Wise County, Virginia",15.5%,6330
51197,VA,"Wythe County, Virginia",12.1%,3550
51199,VA,"York County, Virginia",8.9%,5840
51510,VA,"Alexandria city, Virginia",11%,16050
51520,VA,"Bristol city, Virginia",15.3%,2690
51530,VA,"Buena Vista city, Virginia",14.1%,940
51540,VA,"Charlottesville city, Virginia",17.4%,7760
51550,VA,"Chesapeake city, Virginia",12.1%,27670
51570,VA,"Colonial Heights city, Virginia",11.9%,2090
51580,VA,"Covington city, Virginia",15.1%,880
51590,VA,"Danville city, Virginia",22.5%,9620
51595,VA,"Emporia city, Virginia",27.7%,1570
51600,VA,"Fairfax city, Virginia",5.7%,1350
51610,VA,"Falls Church city, Virginia",6.2%,820
51620,VA,"Franklin city, Virginia",24.8%,2110
51630,VA,"Fredericksburg city, Virginia",17.1%,4550
51640,VA,"Galax city, Virginia",13.4%,940
51650,VA,"Hampton city, Virginia",18.5%,25390
51660,VA,"Harrisonburg city, Virginia",16.8%,8530
51670,VA,"Hopewell city, Virginia",19.3%,4310
51678,VA,"Lexington city, Virginia",15.5%,1110
51680,VA,"Lynchburg city, Virginia",18.6%,14430
51683,VA,"Manassas city, Virginia",7.2%,2920
51685,VA,"Manassas Park city, Virginia",6.1%,920
51690,VA,"Martinsville city, Virginia",22.6%,3110
51700,VA,"Newport News city, Virginia",17.5%,31700
51710,VA,"Norfolk city, Virginia",19.8%,48520
51720,VA,"Norton city, Virginia",15.2%,610
51730,VA,"Petersburg city, Virginia",28.1%,9120
51735,VA,"Poquoson city, Virginia",6.5%,780
51740,VA,"Portsmouth city, Virginia",20.2%,19410
51750,VA,"Radford city, Virginia",19.8%,3360
51760,VA,"Richmond city, Virginia",21.6%,45610
51770,VA,"Roanoke city, Virginia",17.3%,16930
51775,VA,"Salem city, Virginia",11.1%,2800
51790,VA,"Staunton city, Virginia",14.4%,3480
51800,VA,"Suffolk city, Virginia",14.7%,12560
51810,VA,"Virginia Beach city, Virginia",11.2%,49890
51820,VA,"Waynesboro city, Virginia",14.2%,3010
51830,VA,"Williamsburg city, Virginia",16.3%,2350
51840,VA,"Winchester city, Virginia",12.5%,3390
53001,WA,"Adams County, Washington",8.2%,1560
53003,WA,"Asotin County, Washington",14.6%,3200
53005,WA,"Benton County, Washington",12.4%,22490
53007,WA,"Chelan County, Washington",11.2%,8270
53009,WA,"Clallam County, Washington",15.5%,11150
53011,WA,"Clark County, Washington",14.1%,61890
53013,WA,"Columbia County, Washington",14.7%,590
53015,WA,"Cowlitz County, Washington",15.8%,16150
53017,WA,"Douglas County, Washington",10.6%,4140
53019,WA,"Ferry County, Washington",18.9%,1450
53021,WA,"Franklin County, Washington",9.2%,7790
53023,WA,"Garfield County, Washington",13.3%,300
53025,WA,"Grant County, Washington",11.6%,10570
53027,WA,"Grays Harbor County, Washington",16.7%,11980
53029,WA,"Island County, Washington",13.5%,10630
53031,WA,"Jefferson County, Washington",14.6%,4390
53033,WA,"King County, Washington",13.3%,268160
53035,WA,"Kitsap County, Washington",13.4%,34040
53037,WA,"Kittitas County, Washington",16.8%,7010
53039,WA,"Klickitat County, Washington",14.3%,2960
53041,WA,"Lewis County, Washington",15.8%,11930
53043,WA,"Lincoln County, Washington",13.2%,1370
53045,WA,"Mason County, Washington",14.4%,8770
53047,WA,"Okanogan County, Washington",14.3%,5900
53049,WA,"Pacific County, Washington",15.9%,3290
53051,WA,"Pend Oreille County, Washington",17.4%,2260
53053,WA,"Pierce County, Washington",15.1%,122700
53055,WA,"San Juan County, Washington",12.4%,1970
53057,WA,"Skagit County, Washington",12.9%,15270
53059,WA,"Skamania County, Washington",14.7%,1640
53061,WA,"Snohomish County, Washington",12%,88400
53063,WA,"Spokane County, Washington",15.6%,74410
53065,WA,"Stevens County, Washington",16.1%,7010
53067,WA,"Thurston County, Washington",13.9%,35950
53069,WA,"Wahkiakum County, Washington",16.6%,670
53071,WA,"Walla Walla County, Washington",13%,7760
53073,WA,"Whatcom County, Washington",14.7%,30190
53075,WA,"Whitman County, Washington",20%,9210
53077,WA,"Yakima County, Washington",11.5%,28450
54001,WV,"Barbour County, West Virginia",14.9%,2500
54003,WV,"Berkeley County, West Virginia",13.2%,14140
54005,WV,"Boone County, West Virginia",16.2%,3930
54007,WV,"Braxton County, West Virginia",16.7%,2420
54009,WV,"Brooke County, West Virginia",14.1%,3360
54011,WV,"Cabell County, West Virginia",16.9%,16320
54013,WV,"Calhoun County, West Virginia",16.7%,1270
54015,WV,"Clay County, West Virginia",17.1%,1570
54017,WV,"Doddridge County, West Virginia",12.1%,1000
54019,WV,"Fayette County, West Virginia",16.3%,7440
54021,WV,"Gilmer County, West Virginia",17.2%,1500
54023,WV,"Grant County, West Virginia",14.7%,1740
54025,WV,"Greenbrier County, West Virginia",15.1%,5390
54027,WV,"Hampshire County, West Virginia",17.7%,4190
54029,WV,"Hancock County, West Virginia",15.2%,4620
54031,WV,"Hardy County, West Virginia",14.6%,2030
54033,WV,"Harrison County, West Virginia",13.5%,9310
54035,WV,"Jackson County, West Virginia",14.6%,4260
54037,WV,"Jefferson County, West Virginia",11.6%,6330
54039,WV,"Kanawha County, West Virginia",14.4%,27590
54041,WV,"Lewis County, West Virginia",15.1%,2490
54043,WV,"Lincoln County, West Virginia",17.4%,3750
54045,WV,"Logan County, West Virginia",16.9%,6120
54047,WV,"McDowell County, West Virginia",22.1%,4700
54049,WV,"Marion County, West Virginia",13.9%,7870
54051,WV,"Marshall County, West Virginia",14.2%,4640
54053,WV,"Mason County, West Virginia",15.5%,4210
54055,WV,"Mercer County, West Virginia",16.7%,10350
54057,WV,"Mineral County, West Virginia",17.4%,4870
54059,WV,"Mingo County, West Virginia",18.3%,4810
54061,WV,"Monongalia County, West Virginia",16.1%,16120
54063,WV,"Monroe County, West Virginia",13.2%,1780
54065,WV,"Morgan County, West Virginia",14.3%,2490
54067,WV,"Nicholas County, West Virginia",15.5%,4050
54069,WV,"Ohio County, West Virginia",14.8%,6530
54071,WV,"Pendleton County, West Virginia",14%,1050
54073,WV,"Pleasants County, West Virginia",13.4%,1020
54075,WV,"Pocahontas County, West Virginia",15.1%,1310
54077,WV,"Preston County, West Virginia",12.9%,4350
54079,WV,"Putnam County, West Virginia",11.2%,6300
54081,WV,"Raleigh County, West Virginia",15.6%,12290
54083,WV,"Randolph County, West Virginia",14.5%,4260
54085,WV,"Ritchie County, West Virginia",14%,1430
54087,WV,"Roane County, West Virginia",17.5%,2580
54089,WV,"Summers County, West Virginia",14.5%,1990
54091,WV,"Taylor County, West Virginia",13.9%,2360
54093,WV,"Tucker County, West Virginia",13.2%,930
54095,WV,"Tyler County, West Virginia",15.1%,1370
54097,WV,"Upshur County, West Virginia",14.8%,3610
54099,WV,"Wayne County, West Virginia",14.6%,6100
54101,WV,"Webster County, West Virginia",16.6%,1500
54103,WV,"Wetzel County, West Virginia",16.4%,2680
54105,WV,"Wirt County, West Virginia",15.6%,910
54107,WV,"Wood County, West Virginia",14.2%,12280
54109,WV,"Wyoming County, West Virginia",16.2%,3760
55001,WI,"Adams County, Wisconsin",11.9%,2460
55003,WI,"Ashland County, Wisconsin",13.8%,2220
55005,WI,"Barron County, Wisconsin",11.8%,5400
55007,WI,"Bayfield County, Wisconsin",12.6%,1910
55009,WI,"Brown County, Wisconsin",10.9%,27540
55011,WI,"Buffalo County, Wisconsin",11.1%,1490
55013,WI,"Burnett County, Wisconsin",12.8%,1970
55015,WI,"Calumet County, Wisconsin",7.8%,3840
55017,WI,"Chippewa County, Wisconsin",11.2%,7090
55019,WI,"Clark County, Wisconsin",11.3%,3920
55021,WI,"Columbia County, Wisconsin",10.1%,5730
55023,WI,"Crawford County, Wisconsin",12.3%,2030
55025,WI,"Dane County, Wisconsin",11.6%,58480
55027,WI,"Dodge County, Wisconsin",10.5%,9310
55029,WI,"Door County, Wisconsin",11.9%,3320
55031,WI,"Douglas County, Wisconsin",12.8%,5620
55033,WI,"Dunn County, Wisconsin",12.3%,5410
55035,WI,"Eau Claire County, Wisconsin",12.6%,12630
55037,WI,"Florence County, Wisconsin",10.9%,490
55039,WI,"Fond du Lac County, Wisconsin",10.3%,10510
55041,WI,"Forest County, Wisconsin",14%,1280
55043,WI,"Grant County, Wisconsin",12.1%,6200
55045,WI,"Green County, Wisconsin",9.8%,3640
55047,WI,"Green Lake County, Wisconsin",11.2%,2140
55049,WI,"Iowa County, Wisconsin",10.3%,2440
55051,WI,"Iron County, Wisconsin",13.5%,800
55053,WI,"Jackson County, Wisconsin",12.6%,2590
55055,WI,"Jefferson County, Wisconsin",10.2%,8580
55057,WI,"Juneau County, Wisconsin",12%,3190
55059,WI,"Kenosha County, Wisconsin",11.8%,19790
55061,WI,"Kewaunee County, Wisconsin",9.6%,1970
55063,WI,"La Crosse County, Wisconsin",12%,13970
55065,WI,"Lafayette County, Wisconsin",9.6%,1620
55067,WI,"Langlade County, Wisconsin",13.1%,2580
55069,WI,"Lincoln County, Wisconsin",11.3%,3240
55071,WI,"Manitowoc County, Wisconsin",10.7%,8680
55073,WI,"Marathon County, Wisconsin",10.6%,14360
55075,WI,"Marinette County, Wisconsin",12%,4970
55077,WI,"Marquette County, Wisconsin",11.4%,1730
55078,WI,"Menominee County, Wisconsin",17.9%,780
55079,WI,"Milwaukee County, Wisconsin",17.7%,169160
55081,WI,"Monroe County, Wisconsin",12.2%,5510
55083,WI,"Oconto County, Wisconsin",10.1%,3770
55085,WI,"Oneida County, Wisconsin",11%,3950
55087,WI,"Outagamie County, Wisconsin",10%,17900
55089,WI,"Ozaukee County, Wisconsin",8.1%,7010
55091,WI,"Pepin County, Wisconsin",10.4%,770
55093,WI,"Pierce County, Wisconsin",10.4%,4260
55095,WI,"Polk County, Wisconsin",10.8%,4730
55097,WI,"Portage County, Wisconsin",12.1%,8510
55099,WI,"Price County, Wisconsin",11.1%,1540
55101,WI,"Racine County, Wisconsin",12.1%,23630
55103,WI,"Richland County, Wisconsin",11.4%,2040
55105,WI,"Rock County, Wisconsin",12%,19180
55107,WI,"Rusk County, Wisconsin",13%,1880
55109,WI,"St. Croix County, Wisconsin",8.6%,7330
55111,WI,"Sauk County, Wisconsin",11%,6920
55113,WI,"Sawyer County, Wisconsin",14.1%,2330
55115,WI,"Shawano County, Wisconsin",11%,4600
55117,WI,"Sheboygan County, Wisconsin",9.9%,11410
55119,WI,"Taylor County, Wisconsin",11%,2270
55121,WI,"Trempealeau County, Wisconsin",10.1%,2960
55123,WI,"Vernon County, Wisconsin",11.1%,3340
55125,WI,"Vilas County, Wisconsin",13.2%,2820
55127,WI,"Walworth County, Wisconsin",10.7%,10980
55129,WI,"Washburn County, Wisconsin",11.6%,1830
55131,WI,"Washington County, Wisconsin",8.5%,11260
55133,WI,"Waukesha County, Wisconsin",8%,31270
55135,WI,"Waupaca County, Wisconsin",10.6%,5520
55137,WI,"Waushara County, Wisconsin",10.8%,2630
55139,WI,"Winnebago County, Wisconsin",11.8%,19800
55141,WI,"Wood County, Wisconsin",11.2%,8280
56001,WY,"Albany County, Wyoming",17.4%,6490
56003,WY,"Big Horn County, Wyoming",12%,1420
56005,WY,"Campbell County, Wyoming",10.1%,4780
56007,WY,"Carbon County, Wyoming",11.8%,1860
56009,WY,"Converse County, Wyoming",11%,1540
56011,WY,"Crook County, Wyoming",11%,790
56013,WY,"Fremont County, Wyoming",13.6%,5550
56015,WY,"Goshen County, Wyoming",12.7%,1720
56017,WY,"Hot Springs County, Wyoming",13%,630
56019,WY,"Johnson County, Wyoming",12.2%,1050
56021,WY,"Laramie County, Wyoming",12.1%,11380
56023,WY,"Lincoln County, Wyoming",11.3%,2060
56025,WY,"Natrona County, Wyoming",12.7%,9970
56027,WY,"Niobrara County, Wyoming",15.4%,380
56029,WY,"Park County, Wyoming",12.4%,3550
56031,WY,"Platte County, Wyoming",12.8%,1110
56033,WY,"Sheridan County, Wyoming",12.9%,3810
56035,WY,"Sublette County, Wyoming",10.8%,1100
56037,WY,"Sweetwater County, Wyoming",11%,4880
56039,WY,"Teton County, Wyoming",11.7%,2560
56041,WY,"Uinta County, Wyoming",13.1%,2740
56043,WY,"Washakie County, Wyoming",12.6%,1070
56045,WY,"Weston County, Wyoming",12.3%,870
