fips,unemployment_rate_2019,med_household_inc_19,med_hh_income_percent_of_state_total_2019
17203,3.7,"77,117",111.4
18000,3.3,"57,617",100
18001,2.7,"53,532",92.9
18003,3.1,"56,838",98.6
18005,2.5,"71,181",123.5
18007,3.2,"55,016",95.5
18009,4,"46,811",81.2
18011,2.5,"84,137",146
18013,3,"59,617",103.5
18015,3,"58,965",102.3
18017,3.5,"51,777",89.9
18019,3.3,"59,441",103.2
18021,3.5,"54,349",94.3
18023,2.7,"55,336",96
18025,4.1,"44,332",76.9
18027,2.6,"56,611",98.3
18029,3.6,"71,351",123.8
18031,2.9,"60,891",105.7
18033,2.8,"59,714",103.6
18035,3.9,"45,912",79.7
18037,2.4,"63,869",110.9
18039,3.1,"55,782",96.8
18041,4.7,"48,499",84.2
18043,3.2,"64,614",112.1
18045,3.5,"55,337",96
18047,3.4,"67,315",116.8
18049,3.2,"55,011",95.5
18051,2.5,"61,872",107.4
18053,3.7,"47,509",82.5
18055,4.1,"51,918",90.1
18057,2.5,"107,710",186.9
18059,2.8,"77,905",135.2
18061,3.2,"64,270",111.5
18063,2.7,"85,827",149
18065,3.3,"49,293",85.6
18067,4,"54,048",93.8
18069,3.3,"54,565",94.7
18071,2.6,"59,472",103.2
18073,3.7,"65,352",113.4
18075,3,"49,447",85.8
18077,3.4,"53,378",92.6
18079,3.3,"55,022",95.5
18081,2.7,"74,427",129.2
18083,3.1,"48,760",84.6
18085,2.8,"64,677",112.3
18087,2.8,"70,746",122.8
18089,4.9,"57,280",99.4
18091,4.3,"56,427",97.9
18093,3.6,"56,261",97.6
18095,3.7,"54,145",94
18097,3.3,"50,707",88
18099,3.1,"53,695",93.2
18101,2.6,"56,735",98.5
18103,3.9,"53,658",93.1
18105,3.3,"53,113",92.2
18107,3.1,"54,366",94.4
18109,3.1,"63,414",110.1
18111,4.1,"61,457",106.7
18113,3.1,"60,980",105.8
18115,3.5,"58,294",101.2
18117,3.5,"47,931",83.2
18119,4,"53,387",92.7
18121,3.8,"51,554",89.5
18123,3.3,"53,908",93.6
18125,3.3,"52,378",90.9
18127,3.7,"74,064",128.5
18129,2.7,"68,435",118.8
18131,3.1,"52,432",91
18133,3.5,"64,098",111.2
18135,3.7,"50,496",87.6
18137,3.3,"61,219",106.3
18139,2.7,"54,371",94.4
18141,3.6,"53,881",93.5
18143,3.6,"50,571",87.8
18145,2.9,"59,798",103.8
18147,3.1,"59,183",102.7
18149,4.3,"54,001",93.7
18151,2.7,"59,444",103.2
18153,4.3,"53,375",92.6
18155,3.3,"52,482",91.1
18157,2.9,"51,228",88.9
18159,2.7,"69,960",121.4
18161,3.3,"53,866",93.5
