fips,fi_rate_18,ch_fi_rate_18,cpm_18
18061,12.2%,15.9%,US$2.67
18063,8.8%,11.3%,US$2.95
18065,14.1%,20.2%,US$2.62
18067,14.7%,21%,US$2.76
18069,11.7%,16.2%,US$2.60
18071,13.2%,17.4%,US$2.53
18073,11.4%,15.6%,US$3.18
18075,14.2%,19.6%,US$2.78
18077,13.4%,19.4%,US$2.61
18079,13.7%,19.5%,US$2.63
18081,10.1%,13.3%,US$2.84
18083,15%,20.8%,US$2.86
18085,10.9%,14.6%,US$2.82
18087,9%,12.2%,US$3.03
18089,13.9%,19.8%,US$2.90
18091,13.9%,21.2%,US$2.80
