,Year,State,Prophet ForecastValue Future,Prophet ForecastValue Validation,fi
297,2019-12-31,Iowa,11.269217227159505,10.74104734916631,
298,2020-12-31,Iowa,9.37842468167821,8.925277534174684,
299,2021-12-31,Iowa,9.342026888380714,8.693835802079604,
300,2022-12-31,Iowa,9.456561566682353,8.577342231757694,
301,2023-12-31,Iowa,9.721109493038579,8.575160123937883,
302,2024-12-31,Iowa,7.830316947550038,0.0,
303,2025-12-31,Iowa,7.79391915425124,0.0,
304,2010-01-01,Kansas,14.323392715387389,14.341300332636319,
305,2011-01-01,Kansas,14.01980584447918,14.010544966057168,
306,2012-01-01,Kansas,13.83923368444232,13.775216351953437,
307,2013-01-01,Kansas,13.732708777573125,13.786078431859416,
308,2014-01-01,Kansas,13.306037342659554,13.359916098598026,
309,2015-01-01,Kansas,13.00231379213999,13.02906465003347,
310,2016-01-01,Kansas,12.821604951636065,12.793639953458898,
311,2017-01-01,Kansas,12.714942990141743,12.804405689927467,
312,2017-12-31,Kansas,0.0,12.608674805076639,
313,2018-01-01,Kansas,12.288271551837106,0.0,
314,2018-12-31,Kansas,0.0,12.658507249728585,
315,2019-01-01,Kansas,11.984547999680581,0.0,
316,2019-12-31,Kansas,13.322557715948303,12.802513344744089,
317,2020-12-31,Kansas,11.745991744042405,11.671913215544812,
318,2021-12-31,Kansas,11.810632637524296,11.62700206407225,
319,2022-12-31,Kansas,11.997169526646385,11.67683450872331,
320,2023-12-31,Kansas,12.304791922891727,11.82084060374094,
321,2024-12-31,Kansas,10.728225950979368,0.0,
322,2025-12-31,Kansas,10.792866844460216,0.0,
323,2010-01-01,Kentucky,17.99300615055273,18.28940548205546,
324,2011-01-01,Kentucky,17.661214875176178,17.517869292740322,
325,2012-01-01,Kentucky,17.168407031766396,17.04060116408076,
326,2013-01-01,Kentucky,16.684112001144026,16.73971031522284,
327,2014-01-01,Kentucky,16.513720028557625,16.465457111073206,
328,2015-01-01,Kentucky,16.23603732997197,16.15858018702512,
329,2016-01-01,Kentucky,15.798613254675788,15.817359657112881,
330,2017-01-01,Kentucky,15.6720993943454,15.652889153978261,
331,2017-12-31,Kentucky,0.0,15.03259190102758,
332,2018-01-01,Kentucky,15.85979572194765,0.0,
333,2018-12-31,Kentucky,0.0,14.589528738109733,
334,2019-01-01,Kentucky,15.886593318067892,0.0,
335,2019-12-31,Kentucky,13.65710035532779,14.113089250683725,
336,2020-12-31,Kentucky,15.457295574494454,14.356966571499315,
337,2021-12-31,Kentucky,15.001788152887487,13.947600159035051,
338,2022-12-31,Kentucky,14.386556914193392,13.504536996117867,
339,2023-12-31,Kentucky,13.612579231840252,13.028097508690937,
340,2024-12-31,Kentucky,15.412774451014048,0.0,
341,2025-12-31,Kentucky,14.957267029408202,0.0,
342,2010-01-01,Louisiana,16.00034026595293,15.99665294910813,
343,2011-01-01,Louisiana,16.329671353345447,16.33469777100329,
344,2012-01-01,Louisiana,17.028802762767487,17.028158346037706,
345,2013-01-01,Louisiana,16.94085673544941,16.937029070860934,
346,2014-01-01,Louisiana,16.799585370774423,16.806842588177723,
347,2015-01-01,Louisiana,17.02603145907821,17.027508644533864,
348,2016-01-01,Louisiana,17.350015140823867,17.34393802829357,
349,2017-01-01,Louisiana,16.987442136445225,16.993435920099287,
350,2017-12-31,Louisiana,0.0,19.032128162377113,
351,2018-01-01,Louisiana,16.572416823437877,0.0,
352,2018-12-31,Louisiana,0.0,20.40097245803015,
353,2019-01-01,Louisiana,16.526849458137253,0.0,
354,2019-12-31,Louisiana,22.320547469334688,22.116675831396403,
355,2020-12-31,Louisiana,17.543809549823745,17.553346075980652,
356,2021-12-31,Louisiana,18.604569763399734,18.57294685792702,
357,2022-12-31,Louisiana,20.031256167769868,19.941791153575167,
358,2023-12-31,Louisiana,21.821365468772974,21.657494526949503,
359,2024-12-31,Louisiana,17.04462754924359,0.0,
360,2025-12-31,Louisiana,18.10538776281706,0.0,
361,2010-01-01,Maine,15.928820088917826,15.915415501908967,
362,2011-01-01,Maine,15.80821077490048,15.808873317546134,
363,2012-01-01,Maine,15.702312516635407,15.619899364277174,
364,2013-01-01,Maine,15.435765772494706,15.428250835834,
365,2014-01-01,Maine,15.300329432411791,15.40404627526966,
366,2015-01-01,Maine,15.12167778263658,15.199245933492879,
367,2016-01-01,Maine,14.732476009942685,14.751238045719603,
368,2017-01-01,Maine,14.181702857845618,14.299845873756128,
369,2017-12-31,Maine,0.0,13.608972286541821,
370,2018-01-01,Maine,13.762896233367679,0.0,
371,2018-12-31,Maine,0.0,12.915580843522369,
372,2019-01-01,Maine,13.358837081955274,0.0,
373,2019-12-31,Maine,13.320363454517159,12.141488669764886,
374,2020-12-31,Maine,12.59478396321325,12.672994462769203,
375,2021-12-31,Maine,12.234622554392194,12.060941497738419,
376,2022-12-31,Maine,11.888873997310295,11.367550054720066,
377,2023-12-31,Maine,11.557376434039998,10.593457880960527,
378,2024-12-31,Maine,10.831796942734819,0.0,
379,2025-12-31,Maine,10.471635533913624,0.0,
380,2010-01-01,Maryland,12.569732184124437,12.575316744770674,
381,2011-01-01,Maryland,12.410854144758783,12.37945676578925,
382,2012-01-01,Maryland,12.34361079879388,12.259112584082594,
383,2013-01-01,Maryland,11.936437976682756,12.01713685960479,
384,2014-01-01,Maryland,11.685852679739764,11.745757479077895,
385,2015-01-01,Maryland,11.52697441154588,11.549849657116582,
386,2016-01-01,Maryland,11.459730837625758,11.429457631550424,
387,2017-01-01,Maryland,11.052557787378673,11.187433932686968,
388,2017-12-31,Maryland,0.0,11.414524153539466,
389,2018-01-01,Maryland,10.801972489960933,0.0,
390,2018-12-31,Maryland,0.0,11.519294007375487,
391,2019-01-01,Maryland,10.643094221888134,0.0,
392,2019-12-31,Maryland,12.09990236688514,11.698203424324813,
393,2020-12-31,Maryland,10.600004735695121,10.554690504044052,
394,2021-12-31,Maryland,10.715155139378332,10.584773384463105,
395,2022-12-31,Maryland,10.920736858379513,10.68954323829811,
396,2023-12-31,Maryland,11.216022176896463,10.868452655249277,
397,2024-12-31,Maryland,9.716124545700898,0.0,
398,2025-12-31,Maryland,9.83127494938338,0.0,
399,2010-01-01,Massachusetts,11.999333883805404,11.77841366500051,
400,2011-01-01,Massachusetts,11.7290587540183,11.633600413712324,
401,2012-01-01,Massachusetts,11.615333772412495,11.561678513341654,
402,2013-01-01,Massachusetts,11.0314261260509,10.976963776164448,
403,2014-01-01,Massachusetts,10.604371259598647,10.75913268955309,
404,2015-01-01,Massachusetts,10.333833960226785,10.614319401133063,
405,2016-01-01,Massachusetts,10.219846782664707,10.542397467270227,
406,2017-01-01,Massachusetts,9.635676223050272,9.957682697839676,
407,2017-12-31,Massachusetts,0.0,10.61606385593037,
408,2018-01-01,Massachusetts,9.208501902784477,0.0,
409,2018-12-31,Massachusetts,0.0,10.76074268698897,
410,2019-01-01,Massachusetts,8.937964576884488,0.0,
411,2019-12-31,Massachusetts,11.317952778324077,10.97649535962967,
412,2020-12-31,Massachusetts,8.866175657266343,9.523827680416463,
413,2021-12-31,Massachusetts,9.063917344457558,9.596782779068432,
414,2022-12-31,Massachusetts,9.416284234353537,9.741461610125596,
415,2023-12-31,Massachusetts,9.922083397320339,9.95721428276836,
416,2024-12-31,Massachusetts,7.470306276253588,0.0,
417,2025-12-31,Massachusetts,7.668047963443602,0.0,
418,2010-01-01,Michigan,17.9930370895334,18.406416853394873,
419,2011-01-01,Michigan,17.327843066685503,17.47307758120735,
420,2012-01-01,Michigan,16.647960888994255,16.680522010477052,
421,2013-01-01,Michigan,16.188912467201728,16.37634570063981,
422,2014-01-01,Michigan,15.538490349751003,15.301979063301914,
423,2015-01-01,Michigan,14.873296326705756,14.36816407623444,
424,2016-01-01,Michigan,14.193414150250534,13.575132791879748,
425,2017-01-01,Michigan,13.734367185487633,13.270479470650296,
426,2017-12-31,Michigan,0.0,12.411086541884151,
427,2018-01-01,Michigan,13.083946520486016,0.0,
428,2018-12-31,Michigan,0.0,12.039273306604837,
429,2019-01-01,Michigan,12.418753949823266,0.0,
430,2019-12-31,Michigan,11.329347705040107,11.806648641688504,
431,2020-12-31,Michigan,11.044407144495068,9.816998423952604,
432,2021-12-31,Michigan,10.335477387594747,9.305220316607887,
433,2022-12-31,Michigan,9.6122243214587,8.933407081327429,
434,2023-12-31,Michigan,8.874806779309912,8.700782416414038,
435,2024-12-31,Michigan,8.589866218765922,0.0,
436,2025-12-31,Michigan,7.880936461865636,0.0,
437,2010-01-01,Minnesota,11.55744860998507,11.582096632360376,
438,2011-01-01,Minnesota,11.199349964848059,11.217277457770788,
439,2012-01-01,Minnesota,10.935873781476307,10.966602517077709,
440,2013-01-01,Minnesota,10.73382937127043,10.724073184487693,
441,2014-01-01,Minnesota,10.281233797511547,10.245203045328196,
442,2015-01-01,Minnesota,9.923135153120779,9.88038284266245,
443,2016-01-01,Minnesota,9.659658968839471,9.629706875621176,
444,2017-01-01,Minnesota,9.457614558080731,9.387176513530592,
445,2017-12-31,Minnesota,0.0,9.47014282561521,
446,2018-01-01,Minnesota,9.005018984819316,0.0,
447,2018-12-31,Minnesota,0.0,9.560424221617476,
448,2019-01-01,Minnesota,8.64692034038687,0.0,
449,2019-12-31,Minnesota,9.548563191156504,9.763190176632191,
450,2020-12-31,Minnesota,8.214546559146648,8.156167102874573,
451,2021-12-31,Minnesota,8.140014310299525,8.133245127954137,
452,2022-12-31,Minnesota,8.15946514327466,8.223526523955062,
453,2023-12-31,Minnesota,8.27234837996328,8.426292478972305,
454,2024-12-31,Minnesota,6.938331747949362,0.0,
455,2025-12-31,Minnesota,6.863799499101539,0.0,
456,2010-01-01,Mississippi,22.965684061994477,22.359816572044263,
457,2011-01-01,Mississippi,22.60498356601232,22.403579580730398,
